Название,Цена,URL
Изучаем электронику с Arduino. Иллюстрированное руководство,1254.0,https://www.wildberries.ru/catalog/106123713/detail.aspx
Идеальная работа,683.0,https://www.wildberries.ru/catalog/94341513/detail.aspx
Архитектура вычислительных систем и Ассемблер,606.0,https://www.wildberries.ru/catalog/19928448/detail.aspx
Программирования в среде Delphi. Учеб...,791.0,https://www.wildberries.ru/catalog/21886188/detail.aspx
Программирование на языке OCaml,1407.0,https://www.wildberries.ru/catalog/25750404/detail.aspx
Практикум по программированию на языке Паскаль: учебно-методическое пособие. Ч. 2,465.0,https://www.wildberries.ru/catalog/41228927/detail.aspx
C++. Полное руководство. Классическое из,2443.0,https://www.wildberries.ru/catalog/25920501/detail.aspx
Python для начинающих : Программирование с помощью мини-игр,1863.0,https://www.wildberries.ru/catalog/272952039/detail.aspx
Linux и Go. Эффективное низкоуровневое программирование,636.0,https://www.wildberries.ru/catalog/140786188/detail.aspx
JavaScript с нуля до профи,1263.0,https://www.wildberries.ru/catalog/154767842/detail.aspx
Фейри-убийца (#2),445.0,https://www.wildberries.ru/catalog/225521265/detail.aspx
Структуры данных и алгоритмы в Java,1361.0,https://www.wildberries.ru/catalog/5962816/detail.aspx
"Знакомьтесь, Python. Секреты профессии",612.0,https://www.wildberries.ru/catalog/178165246/detail.aspx
Язык программирования C++. Краткий курс,1041.0,https://www.wildberries.ru/catalog/42782842/detail.aspx
Изучаем C++ через программирование игр Доусон Майкл,806.0,https://www.wildberries.ru/catalog/209817753/detail.aspx
Изучаем программирование на JavaScript,1316.0,https://www.wildberries.ru/catalog/5781751/detail.aspx
Язык программирования C++. Краткий курс.,912.0,https://www.wildberries.ru/catalog/21143130/detail.aspx
"Привет, JavaScript! Моя первая книга по программированию",562.0,https://www.wildberries.ru/catalog/271719491/detail.aspx
C# 9 и .NET 5. Разработка и оптимизация,1397.0,https://www.wildberries.ru/catalog/44927511/detail.aspx
Язык C. Мастерство программирования,1828.0,https://www.wildberries.ru/catalog/274420147/detail.aspx
Я - хакер! Хроника потерянного поколения,408.0,https://www.wildberries.ru/catalog/80157314/detail.aspx
42 проекта на Scratch 3 для юных программистов.Новое издание,678.0,https://www.wildberries.ru/catalog/8552055/detail.aspx
"Книга: Умрихин Е. ""Разработка Android-приложений на С# с исп",1008.0,https://www.wildberries.ru/catalog/139326022/detail.aspx
Linux и Go 2-е изд.,1330.0,https://www.wildberries.ru/catalog/258282878/detail.aspx
Развитие интеллекта с помощью алгоритмов для детей 4-6 лет,568.0,https://www.wildberries.ru/catalog/259951313/detail.aspx
Экстремальное программирование,541.0,https://www.wildberries.ru/catalog/9059224/detail.aspx
Сетевое программирование на Python,1098.0,https://www.wildberries.ru/catalog/185524360/detail.aspx
Поисковое продвижение сайтов,1012.0,https://www.wildberries.ru/catalog/17076894/detail.aspx
Обьектно-ориент. программирование: с нуля к SOLID и MVC,666.0,https://www.wildberries.ru/catalog/193703657/detail.aspx
"PHP 8: объекты, шаблоны и методики программирования",2426.0,https://www.wildberries.ru/catalog/53309958/detail.aspx
Дневник эффективности,406.0,https://www.wildberries.ru/catalog/164607688/detail.aspx
Kotlin. Программирование для профессионалов. 2-е изд.,1650.0,https://www.wildberries.ru/catalog/125130848/detail.aspx
Scala. Профессиональное программирование,1041.0,https://www.wildberries.ru/catalog/4734299/detail.aspx
Слепой часовщик,704.0,https://www.wildberries.ru/catalog/2150131/detail.aspx
Язык программирования C++. Лекции и упра,2548.0,https://www.wildberries.ru/catalog/20849131/detail.aspx
"Справочник HTML. Кратко, быстро, под рукой, 2-е изд",593.0,https://www.wildberries.ru/catalog/271719611/detail.aspx
1С: Предприятие 8. Версия для обучения программированию.,733.0,https://www.wildberries.ru/catalog/260910594/detail.aspx
Основы программирования в среде Lazarus,1329.0,https://www.wildberries.ru/catalog/21884362/detail.aspx
"Книга: Смит Б. ""Ассемблер для Raspberry Pi. Практическое рук",1008.0,https://www.wildberries.ru/catalog/137612644/detail.aspx
Учимся рисовать на компьютере кодом P5.JS,819.0,https://www.wildberries.ru/catalog/123412068/detail.aspx
Scala. Профессиональное программирование. 4-е изд.,1498.0,https://www.wildberries.ru/catalog/29679965/detail.aspx
Программирование по Петрову-Водкину,335.0,https://www.wildberries.ru/catalog/13607329/detail.aspx
Элегантный SciPy,1143.0,https://www.wildberries.ru/catalog/21066344/detail.aspx
Unity 5.x,827.0,https://www.wildberries.ru/catalog/19478413/detail.aspx
Курс программирования на ASSEMBLER,488.0,https://www.wildberries.ru/catalog/153552376/detail.aspx
"ЕГЭ по информатике для тех, кото хочет успешно сдать",510.0,https://www.wildberries.ru/catalog/112319723/detail.aspx
Программирование на Visual Basic для начинающих,4335.0,https://www.wildberries.ru/catalog/276689153/detail.aspx
C# для чайников,1580.0,https://www.wildberries.ru/catalog/21143105/detail.aspx
Программирование на Kotlin для Android.,855.0,https://www.wildberries.ru/catalog/172953388/detail.aspx
Программирование на Kotlin для Android,878.0,https://www.wildberries.ru/catalog/179344212/detail.aspx
Программирование для iOS 7. Основы Objec,268.0,https://www.wildberries.ru/catalog/61432730/detail.aspx
Реактивное программирование с RxJava,417.0,https://www.wildberries.ru/catalog/21018214/detail.aspx
Java. Эффективное программирование,1157.0,https://www.wildberries.ru/catalog/277619543/detail.aspx
Белый хакер.Книга для подростков,369.0,https://www.wildberries.ru/catalog/269226545/detail.aspx
"Высоконагруженные приложения. Программирование, масштабирова",2211.0,https://www.wildberries.ru/catalog/276675864/detail.aspx
Head First. Изучаем Swift,747.0,https://www.wildberries.ru/catalog/139303406/detail.aspx
Фейри-профайлер,402.0,https://www.wildberries.ru/catalog/197739212/detail.aspx
Основы программирования ПЛК,872.0,https://www.wildberries.ru/catalog/21881742/detail.aspx
CodeVisionAVR: пособие для начинающих,707.0,https://www.wildberries.ru/catalog/148344893/detail.aspx
C++. Базовый курс,1757.0,https://www.wildberries.ru/catalog/25920502/detail.aspx
CLR via C#. Программирование на платформе Microsoft .NET Framework 4.5 на языке C#. 4-е изд,2865.0,https://www.wildberries.ru/catalog/48825586/detail.aspx
PHP и MYSQL. Серверная веб-разработка,1867.0,https://www.wildberries.ru/catalog/173911596/detail.aspx
"Рабочая тетрадь Реши пиши Логика и программирование, 5-6 лет",257.0,https://www.wildberries.ru/catalog/11134098/detail.aspx
Joomla! Программирование,770.0,https://www.wildberries.ru/catalog/267790598/detail.aspx
Python для чайников. 2-е изд.,1163.0,https://www.wildberries.ru/catalog/21143115/detail.aspx
MS Excel и VBA для моделирования различных задач,860.0,https://www.wildberries.ru/catalog/154164977/detail.aspx
Scala. Профессиональное программирование,2740.0,https://www.wildberries.ru/catalog/95451765/detail.aspx
Робототехника в начальной школе.,703.0,https://www.wildberries.ru/catalog/33360808/detail.aspx
"Привет, Pуthоn! Моя первая книга по программированию",372.0,https://www.wildberries.ru/catalog/62291384/detail.aspx
Фейри-убийца (#2),396.0,https://www.wildberries.ru/catalog/234241746/detail.aspx
Python для непрограммистов. Самоучитель в примерах,351.0,https://www.wildberries.ru/catalog/234924054/detail.aspx
Python с нуля,891.0,https://www.wildberries.ru/catalog/205454760/detail.aspx
Computer Science для программиста-самоучки,762.0,https://www.wildberries.ru/catalog/139300839/detail.aspx
Scratch 3. Изучайте язык программирования… книга Свейгарт Эл,3136.0,https://www.wildberries.ru/catalog/284861618/detail.aspx
"1С: Программирование для начинающих. Детям и родителям, м...",1107.0,https://www.wildberries.ru/catalog/140358865/detail.aspx
Терапия денежного мышления,560.0,https://www.wildberries.ru/catalog/189910894/detail.aspx
Программируем с детьми. Создай 10 веселых игр на Scratch,616.0,https://www.wildberries.ru/catalog/28969251/detail.aspx
Изучай Erlang во имя добра!,1147.0,https://www.wildberries.ru/catalog/20823828/detail.aspx
Байесовский анализ на Python,1078.0,https://www.wildberries.ru/catalog/29362277/detail.aspx
Вып.156. Электронные модули крупной бытовой техники.,710.0,https://www.wildberries.ru/catalog/50293632/detail.aspx
Изучаем TypeScript 3,1583.0,https://www.wildberries.ru/catalog/32324885/detail.aspx
Akka в действии,1315.0,https://www.wildberries.ru/catalog/19459472/detail.aspx
СУБД для программиста. Базы данных изнутри,1057.0,https://www.wildberries.ru/catalog/21442815/detail.aspx
Микрокомпьютерные системы управления,611.0,https://www.wildberries.ru/catalog/25754290/detail.aspx
Полезные схемы с применением микроконтроллеров ПЛИС,518.0,https://www.wildberries.ru/catalog/25755245/detail.aspx
Роботы и игрушки своими руками,384.0,https://www.wildberries.ru/catalog/25952024/detail.aspx
Программируем робота. Путешествие в Робокодию,344.0,https://www.wildberries.ru/catalog/33352809/detail.aspx
"Книга: Винницкий Ю.А., Григорьев А.Т. ""Scratch и Arduino для",785.0,https://www.wildberries.ru/catalog/139327989/detail.aspx
"Книга: Цилюрик О. И. ""Linux и Go. Эффективное низкоуровневое",1008.0,https://www.wildberries.ru/catalog/175871871/detail.aspx
"Web на практике. CSS, HTML, JavaScript, MySQL, PHP для f...",812.0,https://www.wildberries.ru/catalog/169035897/detail.aspx
Книга,1102.0,https://www.wildberries.ru/catalog/19670908/detail.aspx
Linux API. Исчерпывающее руководство,3191.0,https://www.wildberries.ru/catalog/6220553/detail.aspx
JavaScript и jQuery. Исчерпывающее руководство. 3-е издание,1129.0,https://www.wildberries.ru/catalog/2451237/detail.aspx
Искусство программирования: В 4 т (комплект из 4-х книг),12832.0,https://www.wildberries.ru/catalog/190639502/detail.aspx
